,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,Scientific_Name,Common_Name
23107,14388,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2377 Market St,1.0,Sidewalk: Curb side : Cutout,DPW,,12,4X4,37.76288262,-122.43456,Platanus x hispanica ,Sycamore: London Plane
23109,134394,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,800 Gough St,1.0,Sidewalk: Curb side : Cutout,Private,,22,Width 4ft,37.78083528,-122.4237108,Platanus x hispanica ,Sycamore: London Plane
23115,9711,Permitted Site,Lophostemon confertus :: Brisbane Box,500X Gough St,6.0,Sidewalk: Curb side : Cutout,Private,6/13/96 0:00,12,4x4,37.77799792,-122.4234719,Lophostemon confertus ,Brisbane Box
23148,177587,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,48 Melra Ct,1.0,Sidewalk: Curb side : Pot,Private,,14,Width 6ft,37.70945271,-122.4109463,Metrosideros excelsa ,New Zealand Xmas Tree
23150,132822,DPW Maintained,Pittosporum undulatum :: Victorian Box,2610 Clay St,24.0,Sidewalk: Curb side : Cutout,Private,,18,Width 5ft,37.79019197,-122.438832,Pittosporum undulatum ,Victorian Box
23154,247024,DPW Maintained,Pittosporum undulatum :: Victorian Box,550x Valley St,2.0,Median : Yard,DPW,,16,,37.7440884,-122.4344587,Pittosporum undulatum ,Victorian Box
23162,11416,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,721X Mendell St,1.0,Sidewalk: Curb side : Cutout,DPW,,18,3X3,37.73880464,-122.3864534,Metrosideros excelsa ,New Zealand Xmas Tree
23167,261999,Planning Code 138.1 required,Platanus x hispanica :: Sycamore: London Plane,607X Florida St,5.0,Sidewalk: Curb side : Cutout,Private,4/7/20 0:00,3,4x4,37.76159237,-122.4110119,Platanus x hispanica ,Sycamore: London Plane
23171,193982,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,604 Keith St,5.0,Sidewalk: Curb side : Cutout,Private,,16,Width 4ft,37.73722494,-122.3822606,Metrosideros excelsa ,New Zealand Xmas Tree
23172,98731,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,360 Grove St,7.0,Sidewalk: Curb side : Cutout,DPW for City Agency,,13,3x3,37.77818195,-122.4225248,Platanus x hispanica ,Sycamore: London Plane
23178,238772,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3360 24th St,1.0,Sidewalk: Curb side : Cutout,Private,,13,Width 3ft,37.75221417,-122.4198045,Platanus x hispanica ,Sycamore: London Plane
23181,234657,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3555 16th St,2.0,Sidewalk: Curb side : Cutout,Private,,13,Width 3ft,37.76422052,-122.4319763,Platanus x hispanica ,Sycamore: London Plane
23188,131451,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,30 Powell St,1.0,Sidewalk: Curb side : Cutout,Private,,15,Width 4ft,37.78490322,-122.4076998,Metrosideros excelsa ,New Zealand Xmas Tree
23192,72105,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,3024 Geary Blvd,1.0,Sidewalk: Curb side : Cutout,Private,,13,,37.78205366,-122.4516493,Metrosideros excelsa ,New Zealand Xmas Tree
23202,140768,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1907 Ellis St,2.0,Sidewalk: Curb side : Cutout,Private,,14,Width 0ft,37.78162583,-122.4377408,Metrosideros excelsa ,New Zealand Xmas Tree
23219,191608,DPW Maintained,Lophostemon confertus :: Brisbane Box,2400 Mendell St,7.0,Sidewalk: Curb side : Yard,Private,,4,Width 5ft,37.72787324,-122.3959764,Lophostemon confertus ,Brisbane Box
